,Tackles,Challenges,Blocks,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Sh
21,brBRA,"FW,MF",0,12,4,12,5,3,8,30.0,7,11,3,4,25,6,Matches
30,brBRA,"DF,MF",0,19,11,15,4,14,6,63.6,8,10,4,12,42,22,Matches
25,arARG,"DF,MF",0,15,14,10,1,15,10,62.5,9,21,11,10,35,69,Matches
57,arARG,DF,0,34,34,17,6,30,19,52.6,27,25,6,19,76,21,Matches
33,brBRA,DF,0,19,20,8,5,21,9,77.8,6,18,9,18,51,56,Matches
35,brBRA,MF,0,19,12,20,3,15,10,65.2,8,15,5,18,53,20,Matches
9,brBRA,FW,0,4,1,5,3,4,3,57.1,3,3,0,1,10,9,Matches
0,brBRA,GK,1,0,0,0,0,0,0,,0,0,0,0,0,3,Matches
25,ecECU,MF,0,15,9,11,5,13,9,72.2,5,10,1,17,42,7,Matches
21,brBRA,DF,0,15,11,6,4,10,9,52.6,9,12,3,13,34,12,Matches
0,brBRA,GK,0,0,0,0,0,0,0,,0,0,0,0,0,10,Matches
24,brBRA,"FW,MF",0,17,8,11,5,8,5,53.3,7,5,0,6,30,8,Matches
20,arARG,MF,0,11,7,9,4,7,9,38.9,11,9,0,11,31,2,Matches
12,brBRA,MF,0,9,5,5,2,6,6,54.5,5,6,0,5,17,5,Matches
12,brBRA,"MF,FW",0,7,3,7,2,5,2,50.0,5,3,1,2,14,3,Matches
15,brBRA,DF,0,7,4,11,0,8,3,72.7,3,9,6,8,23,37,Matches
10,pyPAR,DF,0,5,4,6,0,6,1,50.0,6,3,2,7,17,18,Matches
14,arARG,MF,0,9,5,6,3,5,1,41.7,7,2,1,4,18,3,Matches
14,brBRA,DF,0,9,8,5,1,8,5,66.7,4,8,3,9,23,24,Matches
6,clCHI,"FW,MF",0,5,3,3,0,3,3,75.0,1,4,1,2,8,4,Matches
11,brBRA,"DF,MF",0,9,4,2,5,3,3,37.5,5,3,0,2,13,4,Matches
3,uyURU,DF,0,2,1,2,0,1,2,33.3,2,5,3,2,5,9,Matches
7,coCOL,"DF,MF",0,5,4,2,1,3,6,30.0,7,6,0,3,10,4,Matches
9,brBRA,MF,0,2,5,4,0,6,5,50.0,6,5,0,1,10,10,Matches
7,brBRA,DF,0,6,4,2,1,5,0,83.3,1,1,1,2,9,12,Matches
2,brBRA,DF,0,1,1,1,0,2,1,100.0,0,4,3,5,7,4,Matches
5,brBRA,DF,0,3,2,3,0,2,0,40.0,3,2,2,8,13,6,Matches
0,brBRA,FW,0,0,0,0,0,0,2,0.0,1,2,0,0,0,5,Matches
11,brBRA,"DF,FW",0,9,5,4,2,4,4,50.0,4,5,1,2,13,5,Matches
6,brBRA,"MF,DF",0,5,3,3,0,3,2,100.0,0,2,0,1,7,1,Matches
0,brBRA,"FW,DF",0,0,0,0,0,0,0,,0,0,0,0,0,1,Matches
0,brBRA,"MF,DF",0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
0,brBRA,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
0,brBRA,MF,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,Matches
