,Performance,Aerial Duels,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov
24-062,brBRA,"FW,MF",18.9,3,1,0,10,17,9,13,4,12,1,0,0,74,10,24,29.4,Matches
30-254,brBRA,"DF,MF",18.3,3,0,0,9,27,4,179,12,19,0,0,0,79,12,19,38.7,Matches
33-065,arARG,"DF,MF",17.4,7,2,2,23,10,0,2,10,15,0,0,0,64,43,26,62.3,Matches
31-091,arARG,DF,15.4,2,0,0,33,22,1,38,19,34,0,1,0,112,17,13,56.7,Matches
25-167,brBRA,DF,14.2,8,1,1,15,9,0,7,18,19,0,0,0,67,21,13,61.8,Matches
30-134,brBRA,MF,13.9,1,0,0,19,12,0,6,18,19,0,0,0,70,18,19,48.6,Matches
38-052,brBRA,FW,13.0,4,1,1,18,39,6,17,1,4,0,0,0,21,12,17,41.4,Matches
34-055,brBRA,GK,13.0,3,0,0,0,3,0,0,0,0,0,0,0,19,0,0,,Matches
26-025,ecECU,MF,13.0,4,0,0,24,12,0,9,17,15,0,0,0,49,18,8,69.2,Matches
27-154,brBRA,DF,12.1,4,0,0,11,9,2,61,13,15,0,0,0,62,12,13,48.0,Matches
25-189,brBRA,GK,10.0,0,0,0,0,3,0,0,0,0,0,0,0,11,1,0,100.0,Matches
20-114,brBRA,"FW,MF",9.3,1,0,0,22,24,3,8,6,17,0,0,0,23,17,26,39.5,Matches
26-189,arARG,MF,8.0,1,0,0,8,14,1,5,11,11,0,0,0,39,7,9,43.8,Matches
25-182,brBRA,MF,8.4,3,0,0,12,12,0,23,5,9,0,0,0,45,5,7,41.7,Matches
32-007,brBRA,"MF,FW",5.9,1,0,0,12,5,1,21,2,7,0,0,0,28,0,1,0.0,Matches
29-140,brBRA,DF,6.2,2,1,0,9,2,0,0,8,7,0,1,0,27,23,12,65.7,Matches
31-219,pyPAR,DF,5.6,2,0,0,10,0,0,5,7,5,0,0,0,16,25,12,67.6,Matches
24-173,arARG,MF,5.6,0,0,0,10,3,0,7,4,9,0,0,0,20,2,2,50.0,Matches
20-228,brBRA,DF,5.5,4,1,1,9,1,0,3,9,9,0,0,0,24,11,5,68.8,Matches
34-300,clCHI,"FW,MF",5.6,0,0,0,3,13,5,3,2,5,2,0,0,19,9,13,40.9,Matches
18-360,brBRA,"DF,MF",5.3,0,0,0,9,15,1,26,2,9,0,0,0,30,1,8,11.1,Matches
28-262,uyURU,DF,3.2,3,0,0,10,1,0,0,2,2,0,0,0,8,7,5,58.3,Matches
21-296,coCOL,"DF,MF",4.6,2,0,0,7,8,1,18,3,5,2,0,0,19,1,5,16.7,Matches
20-020,brBRA,MF,3.0,1,0,0,7,5,0,0,1,2,0,0,0,18,6,4,60.0,Matches
38-084,brBRA,DF,2.9,2,0,0,4,1,0,7,2,6,0,1,0,11,5,1,83.3,Matches
32-022,brBRA,DF,2.3,2,0,0,2,4,0,1,5,1,0,0,0,10,8,2,80.0,Matches
27-227,brBRA,DF,2.5,3,1,1,5,1,0,6,8,3,0,0,0,16,9,5,64.3,Matches
33-130,brBRA,FW,2.2,1,0,0,5,3,4,1,0,0,0,0,0,8,3,4,42.9,Matches
23-086,brBRA,"DF,FW",2.0,1,0,0,4,3,2,13,2,9,0,0,0,10,5,8,38.5,Matches
26-155,brBRA,"MF,DF",2.3,1,0,0,1,4,0,4,1,5,1,0,0,11,3,3,50.0,Matches
35-247,brBRA,"FW,DF",0.7,0,0,0,2,2,0,0,0,0,0,0,0,1,7,3,70.0,Matches
21-057,brBRA,"MF,DF",0.1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,,Matches
20-173,brBRA,FW,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
19-309,brBRA,MF,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
