,Total,Short,Medium,Long,Expected,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast
8855,brBRA,"FW,MF",24-062,18.9,716,1821,369,402,91.8,187,14,3,69,44,79.5,Matches
18229,brBRA,"DF,MF",30-254,18.3,1178,5102,370,405,91.4,350,40,18,110,289,56.1,Matches
17013,arARG,"DF,MF",33-065,17.4,1070,5171,375,406,92.4,501,3,1,57,106,63.2,Matches
16093,arARG,DF,31-091,15.4,1144,6005,483,512,94.3,399,12,9,114,134,53.0,Matches
17440,brBRA,DF,25-167,14.2,985,7597,298,319,93.4,439,12,3,99,175,71.4,Matches
13160,brBRA,MF,30-134,13.9,829,3287,314,334,94.0,352,3,1,64,86,79.1,Matches
4638,brBRA,FW,38-052,13.0,373,884,148,182,81.3,101,15,0,37,41,58.5,Matches
7726,brBRA,GK,34-055,13.0,368,5208,64,65,98.5,152,0,0,1,149,58.4,Matches
7163,ecECU,MF,26-025,13.0,565,1651,277,307,90.2,179,7,1,42,27,66.7,Matches
13523,brBRA,DF,27-154,12.1,963,3939,417,458,91.0,334,19,7,82,87,62.1,Matches
5011,brBRA,GK,25-189,10.0,285,3501,74,75,98.7,108,0,0,0,82,53.7,Matches
2308,brBRA,"FW,MF",20-114,9.3,223,353,116,137,84.7,49,1,0,12,7,42.9,Matches
4436,arARG,MF,26-189,8.0,336,900,147,163,90.2,114,2,0,25,28,57.1,Matches
6632,brBRA,MF,25-182,8.4,467,1801,171,188,91.0,163,11,2,56,71,53.5,Matches
4023,brBRA,"MF,FW",32-007,5.9,317,1020,130,149,87.2,104,10,2,36,25,60.0,Matches
6217,brBRA,DF,29-140,6.2,370,2012,112,122,91.8,182,1,0,11,43,65.1,Matches
6772,pyPAR,DF,31-219,5.6,418,2159,125,134,93.3,195,2,0,33,54,66.7,Matches
5050,arARG,MF,24-173,5.6,343,1379,147,159,92.5,127,2,1,35,30,63.3,Matches
4464,brBRA,DF,20-228,5.5,327,1548,132,146,90.4,106,6,1,34,42,52.4,Matches
2363,clCHI,"FW,MF",34-300,5.6,164,486,65,76,85.5,55,8,1,23,16,93.8,Matches
3187,brBRA,"DF,MF",18-360,5.3,213,732,63,74,85.1,62,7,2,23,51,51.0,Matches
3550,uyURU,DF,28-262,3.2,211,1152,64,73,87.7,94,0,0,9,33,66.7,Matches
1943,coCOL,"DF,MF",21-296,4.6,177,597,82,95,86.3,46,6,1,15,8,37.5,Matches
1820,brBRA,MF,20-020,3.0,135,453,48,57,84.2,43,1,0,7,19,63.2,Matches
3723,brBRA,DF,38-084,2.9,238,1696,86,95,90.5,92,4,1,19,36,58.3,Matches
1864,brBRA,DF,32-022,2.3,127,747,46,50,92.0,54,0,0,7,13,61.5,Matches
2873,brBRA,DF,27-227,2.5,181,1044,53,62,85.5,79,2,0,15,27,59.3,Matches
453,brBRA,FW,33-130,2.2,43,52,14,17,82.4,14,1,1,1,1,100.0,Matches
1329,brBRA,"DF,FW",23-086,2.0,116,433,43,50,86.0,37,3,2,5,9,33.3,Matches
2119,brBRA,"MF,DF",26-155,2.3,142,583,61,66,92.4,48,7,1,21,17,64.7,Matches
113,brBRA,"FW,DF",35-247,0.7,13,9,6,6,100.0,3,0,0,0,0,,Matches
223,brBRA,"MF,DF",21-057,0.1,17,52,5,6,83.3,6,1,0,1,5,20.0,Matches
35,brBRA,FW,20-173,0.1,3,21,1,2,50.0,1,0,0,1,0,,Matches
15,brBRA,MF,19-309,0.0,1,7,1,1,100.0,0,0,0,0,0,,Matches
