Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Bastos,aoANG,DF,33-176,22.9,1267,1211,54,42,1,1,1,4,0,0,0,0,1150,2,8,Matches
John,brBRA,GK,28-219,23.0,811,612,198,50,0,0,0,0,0,0,0,0,634,1,1,Matches
Luiz Henrique,brBRA,"FW,MF",23-261,18.4,467,460,7,0,2,2,29,1,3,0,0,0,350,0,31,Matches
Marlon Freitas,brBRA,MF,29-176,18.5,1206,1139,61,47,5,12,13,5,2,0,1,0,1055,6,21,Matches
Lucas Halter,brBRA,DF,24-140,14.8,845,819,26,20,1,1,0,0,0,0,0,0,768,0,3,Matches
Júnior Santos,brBRA,FW,29-344,14.6,273,261,11,0,1,1,18,5,0,0,0,0,195,1,12,Matches
Gregore,brBRA,MF,30-201,14.1,872,845,25,16,0,3,7,8,0,0,0,0,784,2,11,Matches
Cuiabano,brBRA,DF,21-216,13.4,589,458,130,4,0,1,83,115,11,0,8,0,389,1,24,Matches
Tchê Tchê,brBRA,"MF,FW",32-020,14.7,604,576,28,13,1,4,19,8,5,1,3,0,524,0,7,Matches
Damián Suárez,uyURU,DF,36-145,13.8,658,509,147,12,2,10,51,123,12,0,8,0,491,2,19,Matches
Alexander Barboza,arARG,DF,29-187,12.6,661,629,30,15,1,0,2,2,0,0,0,0,544,2,2,Matches
Danilo Barbosa,brBRA,MF,28-204,11.9,551,531,19,16,0,1,0,0,0,0,0,0,458,1,10,Matches
Jefferson Savarino,veVEN,"MF,FW",27-313,13.1,493,434,57,16,4,5,65,0,36,11,20,1,382,2,12,Matches
Mateo Ponte,uyURU,DF,21-118,9.4,408,332,75,8,0,4,33,67,0,0,0,0,321,1,13,Matches
Tiquinho Soares,brBRA,"FW,MF",33-246,11.1,239,220,16,2,4,3,6,3,0,0,0,0,166,3,5,Matches
Fernando Marçal,brBRA,DF,35-213,8.3,523,401,116,14,0,1,42,83,19,1,13,1,401,6,13,Matches
Igor,brBRA,"FW,MF",23-207,7.3,150,144,4,1,2,2,3,0,0,0,0,0,109,2,9,Matches
Carlos Eduardo,brBRA,"FW,MF",34-338,6.8,248,235,11,3,3,2,8,1,3,0,3,0,204,2,4,Matches
Óscar Romero,pyPAR,"MF,FW",32-077,7.2,352,306,44,13,4,2,42,5,25,14,8,0,254,2,20,Matches
Thiago Almada,arARG,"FW,MF",23-146,4.8,293,267,25,7,1,4,19,2,15,8,4,0,253,1,5,Matches
Jeffinho,brBRA,"FW,MF",24-264,3.6,96,94,1,0,2,1,1,0,1,0,0,1,71,1,3,Matches
Hugo,brBRA,DF,22-365,4.9,244,192,52,8,1,1,19,37,7,4,3,0,190,0,9,Matches
Gatito Fernández,pyPAR,GK,36-174,3.0,96,69,26,8,0,0,0,0,0,0,0,0,74,1,0,Matches
Allan,brBRA,MF,33-255,2.3,119,112,7,4,0,0,1,1,0,0,0,0,99,0,3,Matches
Carlos Alberto,brBRA,FW,22-158,2.0,18,16,1,0,0,0,2,1,0,0,0,0,13,1,1,Matches
Kauê,brBRA,"MF,FW",19-333,1.9,51,43,7,3,1,1,6,0,4,2,2,0,31,1,2,Matches
Matheus Martins,brBRA,"MF,FW",21-065,1.8,45,45,0,0,1,0,3,0,0,0,0,0,36,0,2,Matches
Vitinho,brBRA,DF,25-058,0.7,42,38,4,1,0,0,4,3,0,0,0,0,30,0,2,Matches
Matheus Nascimento,brBRA,FW,20-200,0.3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Diego Hernández,uyURU,"FW,MF",24-089,2.3,95,82,13,1,0,1,16,3,8,2,5,0,74,0,1,Matches
Yarlen Augusto,brBRA,MF,18-212,0.9,12,12,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Patrick de Paula,brBRA,"MF,FW",25-011,0.3,14,13,1,0,0,0,0,0,0,0,0,0,11,0,1,Matches
Pablo,brBRA,DF,33-090,0.3,18,18,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
Fabiano,brBRA,DF,18-157,0.2,7,6,1,1,0,0,0,0,0,0,0,0,5,0,1,Matches
Jacob Montes,niNCA,"FW,MF",25-335,0.2,7,7,0,0,0,0,0,0,0,0,0,0,3,0,1,Matches
Alex Telles,brBRA,DF,31-279,0.2,10,7,3,0,0,0,1,3,0,0,0,0,8,0,0,Matches
Squad Total,,,28.8,26.0,12386,11145,1200,325,37,63,494,480,151,43,78,3,10100,41,256,
Opponent Total,,,28.4,26.0,11378,10071,1272,440,23,93,478,459,111,34,49,2,9104,35,201,
