,Playing Time,Starts,Subs,Team Success,Team Success (xG),Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Mn/Start,Compl,Mn/Sub,unSub,PPM,onG,onGA,+/-
82.2,"FW,MF",23,+1.13,"1,701",81,18.9,19,86,7,2,37,0,1.43,26,+3,+0.16,22.1,20.4,+1.6,+0.09,-0.26,Matches
79.7,"DF,MF",27,+0.21,"1,650",79,18.3,19,86,10,2,12,1,1.52,27,0,0.00,23.7,21.1,+2.6,+0.14,+0.04,Matches
75.6,"DF,MF",26,+0.18,"1,565",87,17.4,18,87,15,0,,1,1.50,26,0,0.00,22.1,20.2,+1.9,+0.11,-0.09,Matches
67.1,DF,20,+0.13,"1,389",73,15.4,16,82,13,3,23,0,1.53,20,0,0.00,17.7,16.5,+1.2,+0.08,-0.17,Matches
61.7,DF,24,-0.44,"1,278",80,14.2,15,84,12,1,23,1,1.38,21,-3,-0.21,19.5,17.6,+1.8,+0.13,-0.01,Matches
60.6,MF,18,+0.11,"1,254",84,13.9,15,84,12,0,,1,1.53,18,0,0.00,16.8,14.1,+2.7,+0.20,+0.16,Matches
56.4,FW,16,+0.28,"1,168",83,13.0,14,83,9,0,,0,1.50,17,+1,+0.08,14.6,14.0,+0.6,+0.05,-0.19,Matches
56.5,GK,15,+0.81,"1,170",90,13.0,13,90,13,0,,0,1.46,19,+4,+0.31,16.4,12.3,+4.1,+0.31,+0.42,Matches
56.5,MF,14,+1.16,"1,170",73,13.0,13,85,10,3,22,0,1.56,20,+6,+0.46,17.9,12.3,+5.6,+0.43,+0.68,Matches
52.8,DF,13,+0.79,"1,092",84,12.1,11,90,11,2,51,1,1.62,17,+4,+0.33,15.1,11.6,+3.4,+0.28,+0.32,Matches
43.5,GK,18,-0.81,900,90,10.0,10,90,10,0,,13,1.40,13,-5,-0.50,13.0,14.0,-1.0,-0.10,-0.42,Matches
40.6,"FW,MF",17,-1.01,841,49,9.3,10,73,1,7,15,6,1.12,11,-6,-0.64,11.0,12.0,-1.0,-0.10,-0.40,Matches
35.0,MF,14,-0.32,724,56,8.0,10,64,1,3,27,1,1.38,12,-2,-0.25,9.0,8.7,+0.3,+0.04,-0.15,Matches
36.4,MF,14,-0.49,754,63,8.4,9,74,5,3,29,10,1.25,11,-3,-0.36,9.5,11.4,-1.9,-0.22,-0.56,Matches
25.7,"MF,FW",8,-0.62,532,67,5.9,7,72,1,1,25,0,1.50,5,-3,-0.51,8.2,6.5,+1.7,+0.28,+0.20,Matches
26.9,DF,6,+0.28,557,56,6.2,6,69,3,4,35,12,1.60,7,+1,+0.16,5.9,6.1,-0.3,-0.04,-0.24,Matches
24.4,DF,6,+0.53,506,84,5.6,6,84,4,0,,1,1.83,8,+2,+0.36,9.6,5.7,+3.9,+0.70,+0.75,Matches
24.2,MF,7,-0.42,500,71,5.6,6,78,3,1,30,0,1.57,5,-2,-0.36,7.6,6.3,+1.4,+0.24,+0.15,Matches
23.9,DF,13,-0.90,495,62,5.5,5,74,2,3,42,6,1.13,9,-4,-0.73,7.6,9.0,-1.4,-0.25,-0.51,Matches
24.3,"FW,MF",10,+0.77,502,33,5.6,4,75,1,11,19,0,1.53,13,+3,+0.54,10.6,5.3,+5.2,+0.94,+1.06,Matches
23.1,"DF,MF",11,-0.92,479,44,5.3,4,74,1,7,26,1,1.27,7,-4,-0.75,7.1,6.2,+0.9,+0.17,+0.05,Matches
14.0,DF,1,+0.41,290,48,3.2,4,62,2,2,22,4,2.00,2,+1,+0.31,2.4,1.7,+0.7,+0.23,+0.11,Matches
19.8,"DF,MF",8,+0.33,410,34,4.6,3,75,0,9,21,8,1.33,9,+1,+0.22,7.5,7.5,0.0,0.00,-0.16,Matches
13.1,MF,6,-0.71,272,45,3.0,3,68,0,3,23,10,1.67,4,-2,-0.66,3.6,5.1,-1.5,-0.50,-0.73,Matches
12.7,DF,4,+0.44,262,52,2.9,3,75,2,2,19,12,1.20,5,+1,+0.34,4.6,5.1,-0.5,-0.19,-0.37,Matches
9.8,DF,1,+1.03,203,68,2.3,3,68,1,0,,1,1.67,3,+2,+0.89,1.7,2.0,-0.3,-0.15,-0.32,Matches
11.1,DF,3,-0.39,229,57,2.5,2,90,2,2,25,2,1.75,2,-1,-0.39,3.4,2.5,+0.8,+0.33,+0.22,Matches
9.4,FW,3,-0.98,194,49,2.2,2,71,0,2,26,0,1.25,1,-2,-0.93,3.0,3.4,-0.4,-0.17,-0.34,Matches
8.8,"DF,FW",2,+1.67,182,30,2.0,2,50,1,4,21,1,1.00,5,+3,+1.48,4.6,1.7,+2.8,+1.39,+1.38,Matches
10.0,"MF,DF",5,-0.92,207,26,2.3,1,80,0,7,18,4,1.50,3,-2,-0.87,4.2,3.3,+0.9,+0.39,+0.28,Matches
3.1,"FW,DF",3,+0.04,64,9,0.7,0,,0,7,9,12,1.29,3,0,0.00,2.1,1.8,+0.3,+0.42,+0.30,Matches
0.5,"MF,DF",0,+8.27,11,6,0.1,0,,0,2,6,7,0.50,1,+1,+8.18,0.3,0.2,+0.1,+0.48,+0.35,Matches
0.4,FW,0,+10.09,9,9,0.1,0,,0,1,9,10,0.00,1,+1,+10.00,0.3,0.2,+0.1,+0.96,+0.83,Matches
0.0,MF,1,-90.00,1,1,0.0,0,,0,1,1,5,0.00,0,-1,-90.00,0.0,0.0,0.0,-1.92,-2.05,Matches
,GK,,,,,,0,,0,0,,3,,,,,,,,,,Matches
,GK,,,,,,0,,0,0,,13,,,,,,,,,,Matches
